state,puma12,county,stab,cntyname,PUMAname,pop16,afact
State code,PUMA (2012),County code,State abbreviation,County name,PUMA12 name,Population (2016 est.),puma12 to county allocation factor
37,03104,37119,NC,Mecklenburg NC,Charlotte City (South),163102.1649,1
37,03105,37119,NC,Mecklenburg NC,Charlotte City (Southwest),115279.3108,1
37,03106,37119,NC,Mecklenburg NC,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",157517.307,1
37,03107,37119,NC,Mecklenburg NC,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,124502.5274,1
37,03108,37119,NC,Mecklenburg NC,Mecklenburg County (South)--Matthews Town (South),119772.2021,1
37,03200,37025,NC,Cabarrus NC,"Cabarrus County (West)--Concord, Kannapolis Cities & Harrisburg Town",150912.4997,1
37,03300,37025,NC,Cabarrus NC,Stanley & Cabarrus (East) Counties,50677.5003,0.4546
37,03300,37167,NC,Stanly NC,Stanley & Cabarrus (East) Counties,60791,0.5454
37,03400,37159,NC,Rowan NC,Rowan County,139933,1
37,03500,37057,NC,Davidson NC,Davidson County,164926,1
37,03600,37151,NC,Randolph NC,Randolph County,143416,1
37,03700,37123,NC,Montgomery NC,Moore & Montgomery Counties,27418,0.2226
37,03700,37125,NC,Moore NC,Moore & Montgomery Counties,95776,0.7774
37,03800,37085,NC,Harnett NC,Harnett County,130881,1
37,03900,37061,NC,Duplin NC,Sampson & Duplin Counties,58969,0.483
37,03900,37163,NC,Sampson NC,Sampson & Duplin Counties,63124,0.517
37,04000,37191,NC,Wayne NC,Wayne County,124150,1
37,04100,37103,NC,Jones NC,"Lenoir, Onslow (North) & Jones Counties",9845,0.0901
37,04100,37107,NC,Lenoir NC,"Lenoir, Onslow (North) & Jones Counties",57307,0.5246
37,04100,37133,NC,Onslow NC,"Lenoir, Onslow (North) & Jones Counties",42079.5989,0.3852
37,04200,37147,NC,Pitt NC,Pitt County--Greenville City,177220,1
37,04300,37049,NC,Craven NC,Craven County,103445,1
37,04400,37013,NC,Beaufort NC,"Carteret, Beaufort & Pamlico Counties",47526,0.3677
37,04400,37031,NC,Carteret NC,"Carteret, Beaufort & Pamlico Counties",68890,0.5331
